soal,version-soal,opsi-1,opsi-2,opsi-3,opsi-4,opsi-5,opsi-benar,total-benar,total-salah,total-muncul,current-total-benar,current-total-muncul,prob-benar,current-prob,level-soal,current-level
Pipa kapiler yang berperan dalam pengangkutan air di dalam tubuh tumbuhan adalah,089v002,Xylem,Floem,Berkas pembuluh,Trakeid,Trakea,1,0,0,0,5,7,0,0.71,2,1
"Untuk mengangkut air di dalam tubuh tumbuhan, digunakan pipa kapiler yang disebut",089v003,Xylem,Floem,Berkas pembuluh,Trakeid,Trakea,1,0,0,0,3,6,0,0.5,2,2
Sporangium adalah struktur,092v001,Daun yang tidak mengandung spora,Daun yang mengandung spora,Kotak spora yang menghasilkan spora,Pelindung spora,Spora yang berukuran kecil,3,4,5,9,5,6,0.44,0.6,2,2
Pengertin sporangium yaitu,092v002,Daun yang tidak mengandung spora,Daun yang mengandung spora,Kotak spora yang menghasilkan spora,Pelindung spora,Spora yang berukuran kecil,3,0,0,0,3,9,0,0.33,2,2
Sporangium adalah,092v003,Daun yang tidak mengandung spora,Daun yang mengandung spora,Kotak spora yang menghasilkan spora,Pelindung spora,Spora yang berukuran kecil,3,0,0,0,1,5,0,0.2,2,3
"Dalam anatomi biji monokotil, bagian yang menyimpan cadangan makanan adalah",095v001,Endospermae,Radikula,Hipokoti,Epikotil,Kotiledon,1,3,3,6,2,2,0.5,0.63,2,2
Bagian biji monokotil yang berfungsi sebagai tempat cadangan makanan adalah,095v002,Endospermae,Radikula,Hipokoti,Epikotil,Kotiledon,1,0,0,0,8,11,0,0.73,2,1
"Pada anatomi biji monokotil, bagian biji yang berperan untuk cadangan makanan adalah",095v003,Endospermae,Radikula,Hipokoti,Epikotil,Kotiledon,1,0,0,0,3,4,0,0.75,2,1
Pinus adalah bagian dari kelompok Gymnospermae dari divisi,097v001,Pteridophyta,Equisetophyta,Lycopodophyta,Cycodophyta,Pinophyta,5,5,7,12,3,8,0.42,0.4,2,2
"Dalam divisi, Pinus termasuk ke dalam anggota Gymnospermae",097v002,Pteridophyta,Equisetophyta,Lycopodophyta,Cycodophyta,Pinophyta,5,0,0,0,1,9,0,0.11,2,3
Anggota Gymnospermae dalam divisi termasuk,097v003,Pteridophyta,Equisetophyta,Lycopodophyta,Cycodophyta,Pinophyta,5,0,0,0,3,7,0,0.43,2,2
"Berikut ini adalah beberapa spesies dari kingdom Plantae yang sering digunakan sebagai sumber utama karbohidrat, seperti",099v001,Cocos nucifera,Ficus benjamina,Salacca sp,Psidium guajava,Oryza sativa,5,4,7,11,11,16,0.36,0.56,2,2
Contoh-contoh spesies dari kingdom Plantae yang umumnya menjadi sumber utama karbohidrat adalah,099v002,Cocos nucifera,Ficus benjamina,Salacca sp,Psidium guajava,Oryza sativa,5,0,0,0,5,5,0,1,2,1
Spesies dari kingdom Plantae yang biasanya digunakan sebagai sumber utama karbohidrat meliputi,099v003,Cocos nucifera,Ficus benjamina,Salacca sp,Psidium guajava,Oryza sativa,5,0,0,0,4,7,0,0.57,2,2
CO2 bisa mengakibatkan,102v001,Perubahan suhu udara,Gangguan respirasi manusia,Korosi pada logam,Peningkatan suhu udara,Terbentuknya hujan asam,4,5,5,10,2,6,0.5,0.44,2,2
CO2 adalah polutan udara yang dapat menyebabkan,102v002,Perubahan suhu udara,Gangguan respirasi manusia,Korosi pada logam,Peningkatan suhu udara,Terbentuknya hujan asam,4,0,0,0,4,6,0,0.67,2,2
Dampak polutan udara adalah,102v003,Perubahan suhu udara,Gangguan respirasi manusia,Korosi pada logam,Peningkatan suhu udara,Terbentuknya hujan asam,4,0,0,0,6,13,0,0.46,2,2
Pernyataan yang salah adalah,105v001,Mencapai kelestarian hubungan manusia dengan lingkungan hidup sebagai tujuan membangun manusia seutuhnya,Mewujudkan manusia sebagai pembina lingkungan hidup,Pemanfaatan sumber daya sesuai dengan keinginan manusia,Melaksanakan pembangunan berwawasan lingkungan untuk kepentingan generasi sekarang dan mendatang,Negara memiliki peranan penting agar kelestarian alam dapat terjaga,3,5,10,15,9,12,0.33,0.52,2,2
Pernyataan yang tidak tepat tentang perlindungan lingkungan adalah,105v002,Mencapai kelestarian hubungan manusia dengan lingkungan hidup sebagai tujuan membangun manusia seutuhnya,Mewujudkan manusia sebagai pembina lingkungan hidup,Pemanfaatan sumber daya sesuai dengan keinginan manusia,Melaksanakan pembangunan berwawasan lingkungan untuk kepentingan generasi sekarang dan mendatang,Negara memiliki peranan penting agar kelestarian alam dapat terjaga,3,0,0,0,8,10,0,0.8,2,1
Pernyataan yang tidak benar adalah,105v003,Mencapai kelestarian hubungan manusia dengan lingkungan hidup sebagai tujuan membangun manusia seutuhnya,Mewujudkan manusia sebagai pembina lingkungan hidup,Pemanfaatan sumber daya sesuai dengan keinginan manusia,Melaksanakan pembangunan berwawasan lingkungan untuk kepentingan generasi sekarang dan mendatang,Negara memiliki peranan penting agar kelestarian alam dapat terjaga,3,0,0,0,3,6,0,0.5,2,2
"Bencana banjir yang melanda beberapa kota tidak hanya disebabkan oleh tingginya curah hujan. Faktor kerusakan hutan di kawasan tangkapan air wilayah hulu sungai diidentifikasi sebagai penyebab utama sering terjadinya banjir. Dampaknya juga berupa pendangkalan sungai. Kerusakan hutan disebabkan oleh beberapa kegiatan manusia, antara lain pembelakan liar dan penambangan liar. Kerusakan hutan juga banyak terjadi akibat kebakaran hutan, alih fungsi hutan menjadi kebun kelapa sawit, pertambangan batu baru, dan penambangan emas liar. Cara mengatasi permasalahan tersebut adalah",106v001,Membangun tanggul-tanggul di sepanjang aliran sungai,Merevisi undang-undang tentang pencemaran,Melarang usaha penambangan atau eksploitasi sumber daya alam,Mengharuskan pabrik atau proyek melakukan analisa dampak lingkungan,Memperketat pendidikan terhadap masyarakat dengan sistem,4,1,1,2,4,8,0.5,0.5,2,2
"Bencana banjir yang menghantam beberapa kota tidak hanya disebabkan oleh tingginya curah hujan. Kerusakan hutan di daerah tangkapan air di hulu sungai diidentifikasi sebagai penyebab utama seringnya terjadinya banjir, yang juga menyebabkan pendangkalan sungai. Kerusakan hutan ini disebabkan oleh berbagai kegiatan manusia seperti pembalakan liar dan penambangan ilegal. Selain itu, kebakaran hutan, konversi hutan menjadi kebun kelapa sawit, pertambangan batu bara, dan penambangan emas liar juga berkontribusi terhadap kerusakan hutan. Upaya untuk mengatasi permasalahan ini adalah",106v002,Membangun tanggul-tanggul di sepanjang aliran sungai,Merevisi undang-undang tentang pencemaran,Melarang usaha penambangan atau eksploitasi sumber daya alam,Mengharuskan pabrik atau proyek melakukan analisa dampak lingkungan,Memperketat pendidikan terhadap masyarakat dengan sistem,4,0,0,0,2,7,0,0.29,2,3
"Langkah-langkah untuk mengatasi bencana seperti banjir, tanah longsor adalah",106v003,Membangun tanggul-tanggul di sepanjang aliran sungai,Merevisi undang-undang tentang pencemaran,Melarang usaha penambangan atau eksploitasi sumber daya alam,Mengharuskan pabrik atau proyek melakukan analisa dampak lingkungan,Memperketat pendidikan terhadap masyarakat dengan sistem,4,0,0,0,2,10,0,0.2,2,3
Pengelolaan biologis dianggap paling efektif dalam penanganan limbah dari bahan berbahaya dan beracun (limbah B3) karena,108v001,membutuhkan waktu yang relatif singkat,biaya yang dibutuhkan relatif murah,tidak menimbulkan limbah baru bagi lingkungan,tidak membutuhkan teknologi yang rumit,meminimalisir dampak bagi lingkungan,5,4,4,8,2,6,0.5,0.43,2,2
Cara terbaik untuk mengatasi limbah dari bahan berbahaya dan beracun (limbah B3) adalah dengan pengelolaan secara biologis karena,108v002,membutuhkan waktu yang relatif singkat,biaya yang dibutuhkan relatif murah,tidak menimbulkan limbah baru bagi lingkungan,tidak membutuhkan teknologi yang rumit,meminimalisir dampak bagi lingkungan,5,0,0,0,2,8,0,0.25,2,3
Pengelolaan biologis dianggap sebagai solusi terbaik dalam menanggulangi limbah dari bahan berbahaya dan beracun (limbah B3) karena,108v003,membutuhkan waktu yang relatif singkat,biaya yang dibutuhkan relatif murah,tidak menimbulkan limbah baru bagi lingkungan,tidak membutuhkan teknologi yang rumit,meminimalisir dampak bagi lingkungan,5,0,0,0,0,0,0,0,2,3
"Untuk mengendalikan populasi serangga yang merusak tanaman pertanian secara serius tanpa dampak negatif bagi lingkungan, metode yang digunakan adalah",112v001,disemprot pestisida,radiasi dengan zat radioaktif,ditangkap beramai-ramai,Dilepas pejantan steril,dilepaskan katak hijau,4,2,2,4,0,0,0.5,0.5,2,2
Meningkatmya populasi sejenis Insecta yang merusak tanaman pertanian perlu dikendalikan secara serius. Cara pengendalian yang tidak menimbulkan dampak negtif bagi lingkungan adalah,112v002,disemprot pestisida,radiasi dengan zat radioaktif,ditangkap beramai-ramai,Dilepas pejantan steril,dilepaskan katak hijau,4,0,0,0,0,7,0,0,2,3
Populasi serangga perusak tanaman pertanian yang meningkat perlu dikendalikan dengan serius. Cara pengendalian yang ramah lingkungan adalah,112v003,disemprot pestisida,radiasi dengan zat radioaktif,ditangkap beramai-ramai,Dilepas pejantan steril,dilepaskan katak hijau,4,0,0,0,0,10,0,0,2,3
Pencemaran sampah plastik dalam tanah selain mengurangi kemampuan daya dukung tanah juga merupakan polutan yang tidak dapat diuraikan. Untuk menanggulanginya dilakukan,113v001,penyuluhan pada masyarakat agar tidak menggunakan plastik,penelitian cara penguraian plastik dalam tanah,penggantian bahan plastik,penguraian produksi plastik,pendaur ulang limbah plastik,5,5,4,9,5,10,0.56,0.53,2,2
"Selain mengurangi kemampuan daya dukung tanah, pencemaran sampah plastik juga tidak dapat diuraikan. Upaya untuk menanggulangi hal ini adalah",113v002,penyuluhan pada masyarakat agar tidak menggunakan plastik,penelitian cara penguraian plastik dalam tanah,penggantian bahan plastik,penguraian produksi plastik,pendaur ulang limbah plastik,5,0,0,0,7,10,0,0.7,2,2
Pencemaran plastik dalam tanah mengurangi daya dukung tanah dan tidak bisa diuraikan. Upaya penanggulangannya adalah,113v003,penyuluhan pada masyarakat agar tidak menggunakan plastik,penelitian cara penguraian plastik dalam tanah,penggantian bahan plastik,penguraian produksi plastik,pendaur ulang limbah plastik,5,0,0,0,0,0,0,0,2,3
Penggunaan kendaraan bermotor dan alat-alat yang mengandung CFC bisa menyebabkan,114v001,peningkatan polutan biologis yan mencemari udara,peningkatan kadar CO2 di atmosfir dan penipisan lapisan ozon,menurunnya kadar oksigen di atas permukan air laut,menurunnya kualitas udara bersih di hutan hujan tropis,peningkatan kemampuan tumbuhan hijau dlam berfotosintesis,2,3,4,7,4,10,0.43,0.41,2,2
Kendaraan bermotor dan alat-alat dengan CFC dapat mengakibatkan,114v002,peningkatan polutan biologis yan mencemari udara,peningkatan kadar CO2 di atmosfir dan penipisan lapisan ozon,menurunnya kadar oksigen di atas permukan air laut,menurunnya kualitas udara bersih di hutan hujan tropis,peningkatan kemampuan tumbuhan hijau dlam berfotosintesis,2,0,0,0,3,4,0,0.75,2,1
Akibat dari penggunaan kendaraan bermotor dan alat-alat yang mengandung CFC adalah,114v003,peningkatan polutan biologis yan mencemari udara,peningkatan kadar CO2 di atmosfir dan penipisan lapisan ozon,menurunnya kadar oksigen di atas permukan air laut,menurunnya kualitas udara bersih di hutan hujan tropis,peningkatan kemampuan tumbuhan hijau dlam berfotosintesis,2,0,0,0,0,0,0,0,2,3
Tindakan yang kita lakukan untuk menerapkan prinsip etika lingkungan tersebut adalah,115v001,pemanfaatan sumber daya alam secara maksimal,pemanfaatan sumber daya alam secara optimal,eksploitasi sumber daya alam untuk kepentingan manusia,eksploitasi sumber daya alam untuk kepentingan pembangunan,melindungi semua spesies untuk kepentingan manusia,5,2,2,4,1,9,0.5,0.23,2,3
"Dalam rangka menerapkan prinsip etika lingkungan tersebut, tindakan yang kita ambil adalah",115v002,pemanfaatan sumber daya alam secara maksimal,pemanfaatan sumber daya alam secara optimal,eksploitasi sumber daya alam untuk kepentingan manusia,eksploitasi sumber daya alam untuk kepentingan pembangunan,melindungi semua spesies untuk kepentingan manusia,5,0,0,0,0,0,0,0,2,3
"Untuk menjalankan prinsip etika lingkungan itu, kita perlu melakukan tindakan",115v003,pemanfaatan sumber daya alam secara maksimal,pemanfaatan sumber daya alam secara optimal,eksploitasi sumber daya alam untuk kepentingan manusia,eksploitasi sumber daya alam untuk kepentingan pembangunan,melindungi semua spesies untuk kepentingan manusia,5,0,0,0,1,11,0,0.09,2,3
Salah satu pengaruh hutan terhadap lingkungan adalah hubungannya dengan iklim. Ini terjadi karena hutan,116v001,memiliki keanekaragaman tumbuhan,memiliki keanekaragaman satwa,menghasilkan uap air yang membentuk hujan,selalu terletak pada daerah pegunungan,mampu menyimpan air yang jatuh di tanah,3,2,3,5,3,8,0.4,0.38,2,2
"Hutan mempengaruhi lingkungan, terutama dalam hal iklim. Ini karena hutan",116v002,memiliki keanekaragaman tumbuhan,memiliki keanekaragaman satwa,menghasilkan uap air yang membentuk hujan,selalu terletak pada daerah pegunungan,mampu menyimpan air yang jatuh di tanah,3,0,0,0,0,0,0,0,2,3
Pengaruh hutan terhadap lingkungan mencakup iklim. Hal ini disebabkan oleh hutan yang,116v003,memiliki keanekaragaman tumbuhan,memiliki keanekaragaman satwa,menghasilkan uap air yang membentuk hujan,selalu terletak pada daerah pegunungan,mampu menyimpan air yang jatuh di tanah,3,0,0,0,2,6,0,0.33,2,2
